iddetalle_venta,idventa,idarticulo,cantidad,precio,descuento
108,668,65,6,654.84,35.05
109,233,88,4,644.04,135.59
110,88,69,6,295.43,43.68
111,119,209,1,478.49,39.81
112,165,63,7,144.64,12.61
113,767,286,3,562.93,42.19
114,260,155,1,487.89,46.23
115,188,205,7,635.8,65.41
116,78,264,7,136.02,26.74
117,18,154,1,276.61,20.31
118,866,70,2,71.28,12.29
119,830,243,10,665.25,123.99
120,601,291,8,500.94,67.29
121,680,133,8,609.19,72.23
122,853,14,5,433.96,26.64
123,80,42,9,314.31,47.94
124,34,223,5,182.44,45.46
125,968,43,2,286.19,39.11
126,62,16,2,176.77,13.6
127,51,73,5,396.76,23.58
128,90,192,8,127.63,8.31
129,520,15,3,173.77,36.45
130,961,241,3,268.08,37.07
131,26,50,1,691.95,50.08
132,500,165,5,399.67,33.08
133,533,224,6,235.26,25.88
134,612,270,2,26.57,6.48
135,442,159,4,177.09,25.67
136,523,162,9,84.03,16.16
137,359,184,7,647.93,128.71
138,724,291,3,97.29,19.74
139,244,163,10,83.17,10.66
140,446,54,10,613.4,90.1
141,823,276,9,284.1,62.73
142,267,119,6,703.74,142.3
143,93,187,3,142.53,28.58
144,239,156,9,513.52,123.2
145,163,47,1,626.82,82.63
146,607,20,8,677.47,127.25
147,737,173,9,233.5,38.61
148,815,214,10,277.82,54.95
149,5,172,1,535.63,37.42
150,590,80,1,576.51,98.91
151,349,61,5,579.2,89.49
152,99,8,9,415.74,55.89
153,246,24,3,488.37,94.53
154,230,51,1,51.48,10.78
155,194,90,5,272.22,42.09
156,682,203,6,202.63,29.22
157,930,21,1,168.44,18.02
158,835,49,1,412.93,62.92
159,246,126,3,684.9,103.49
160,830,187,7,382.71,21.83
161,69,86,1,135.78,13.02
162,897,217,2,158.86,34.25
163,331,123,8,720.19,87.12
164,127,180,6,450.87,58.22
165,643,8,10,272.37,28.06
166,744,96,6,536.21,116.18
167,490,180,5,184.75,42.08
168,952,286,8,173.27,9
169,353,189,5,486.5,107.07
170,897,239,2,110.55,13.16
171,544,78,10,374.76,29.58
172,555,214,7,569.57,93.04
173,549,90,10,386.83,55.84
174,534,268,5,445.07,100.2
175,566,151,5,291.76,63.33
176,489,171,4,236.67,40.03
177,504,139,9,372.61,26.29
178,620,271,4,534.34,111.51
179,646,170,3,283.92,40.35
180,637,9,3,394.81,21.95
181,687,171,9,311.81,54.94
182,11,199,2,230.83,36.55
183,144,178,5,382.63,78.78
184,329,19,7,50.2,5.84
185,473,156,3,135.85,26.85
186,43,229,9,134.51,33.43
187,140,163,1,185.34,24.07
188,221,82,1,422.3,90.84
189,949,171,6,461.53,98.65
190,957,195,2,170.02,34.02
191,89,280,2,5.33,0.98
192,975,109,4,589.83,116.57
193,686,163,4,51.74,7.07
194,275,164,5,184.19,36.24
195,345,104,9,266.4,23.98
196,986,259,4,382.13,62.98
197,603,242,7,536.25,34.84
198,912,225,6,140.53,21.99
199,239,135,6,628.76,37.8
200,417,144,6,539.76,27.01
201,175,46,8,632.65,54.08
202,869,5,10,434.71,64.43
203,947,90,6,385.9,57.03
204,959,274,3,479.12,105.43
205,69,50,2,65.66,4.93
206,36,149,7,311.02,26.04
207,775,137,1,648.51,54.35
208,244,239,2,103.92,25.5
209,250,92,3,608.32,90.86
210,766,83,9,173.4,28.63
211,241,87,10,653.46,115.48
212,314,44,2,677.89,150.79
213,994,150,10,209.5,10.81
214,143,112,6,535.63,37.5
215,54,275,7,21.63,2.49
216,415,167,4,532.2,30.26
217,461,286,5,645.52,142.81
218,548,222,1,500.63,57.4
219,600,8,10,739.06,138.5
220,186,37,5,294.97,67.7
221,118,261,5,415.23,68.45
222,86,76,3,422.35,70.16
223,48,100,1,510.26,47.53
224,814,220,8,663.42,80.65
225,984,265,9,584.24,133.17
226,698,144,6,47.93,11.33
227,175,13,7,332.36,72.28
228,864,223,5,65.67,8.17
229,155,115,4,399.33,32.1
230,679,28,2,71.56,9.22
231,420,262,9,297.61,63.37
232,192,271,5,181.32,38.51
233,46,55,8,136.74,14.15
234,608,132,3,749.29,174.65
235,783,11,2,302.67,63.64
236,538,20,7,283.89,37.27
237,131,82,7,577,120.77
238,594,264,10,469.47,70.73
239,934,152,6,490.19,91.15
240,952,243,9,321.96,80.04
241,752,198,8,384.93,70.53
242,839,264,4,554.33,83.42
243,167,69,9,680.07,88.62
244,563,276,1,315.81,18.39
245,192,127,9,97.19,13.83
246,436,279,4,633.89,52.21
247,171,255,9,572.05,108.82
248,742,6,3,164.15,31.72
249,921,42,5,3.02,0.61
250,638,170,5,475.16,44.59
251,449,1,8,190.05,44.18
252,624,151,8,243.44,60.07
253,790,164,1,183.49,22.92
254,976,232,8,25.85,5.62
255,13,3,3,30.77,6.44
256,925,67,8,128.4,27.54
257,393,163,3,13.84,1.1
258,388,136,7,258.56,28.95
259,34,114,2,495.32,27.59
260,933,192,10,588.28,41.98
261,710,235,9,160.76,12.81
262,176,193,7,342.82,56.87
263,647,81,3,396.72,42.17
264,36,213,6,679.3,167.01
265,233,134,2,679.46,135.93
266,402,81,3,423.98,46.93
267,254,117,9,4.94,0.95
268,61,152,9,9.88,2.02
269,589,101,9,350.63,77.49
270,310,164,6,595.14,74.83
271,908,281,10,701.1,162.79
272,196,236,9,682.68,132.13
273,295,276,2,456.25,76.09
274,555,22,10,210.69,38.08
275,271,210,6,673.91,98.87
276,366,233,10,372.96,84.84
277,632,295,9,544.56,59.11
278,303,185,9,233.85,37.76
279,317,73,5,626.38,67.69
280,202,112,9,286.36,61.67
281,699,154,5,691.21,43.86
282,114,64,4,132.34,6.65
283,864,244,4,649.38,146.35
284,740,33,4,602.96,146.98
285,713,279,2,678.36,90.84
286,470,35,6,214.75,46.21
287,369,132,2,239.25,18.64
288,415,14,4,424.85,47.92
289,446,78,3,267.25,16.85
290,513,146,4,386.34,41.43
291,561,279,1,615.87,136.42
292,333,131,2,612.84,50.12
293,111,72,9,748.06,71.5
294,391,162,10,529.49,108.94
295,953,271,8,448.07,104.3
296,848,131,2,401.26,56.64
297,490,236,6,276.05,22.45
298,806,287,10,424.9,46.58
299,591,172,3,501.22,54.95
300,427,285,5,111.27,19.52
301,722,64,9,173.73,27.39
302,391,90,6,224.31,24.86
303,289,45,3,597.15,49.27
304,951,152,6,185.54,40.82
305,661,97,3,226.04,37.73
306,497,247,10,577.65,83.28
307,216,119,7,338.51,38
308,610,185,10,535.72,36.63
309,988,44,2,18.82,1.61
310,472,213,1,660.93,60.07
311,678,150,10,185.93,9.64
312,779,272,7,46.11,3.94
313,997,198,7,716.48,135.86
314,798,239,5,598.19,60
315,83,24,1,367.79,88.49
316,12,157,10,710.86,147.35
317,413,21,7,504.34,68.9
318,523,128,4,3.63,0.47
319,418,119,8,207.37,51.77
320,991,187,2,45.24,4.16
321,495,268,1,192.73,17.26
322,744,50,5,281.93,33.69
323,619,48,4,725.06,67.83
324,553,263,7,228.92,37.14
325,13,66,7,458.86,56.94
326,746,120,1,314.5,20.66
327,676,109,8,214.81,51.61
328,702,261,4,359.49,69.26
329,81,120,7,415.65,81
330,32,169,8,261.48,34.97
331,904,186,3,90.52,14.4
332,686,72,2,417.57,97.56
333,814,227,3,416.11,49.57
334,511,88,1,272.55,47.66
335,135,157,2,531.88,51.7
336,253,4,5,729.37,66.31
337,488,87,7,440.37,48.77
338,681,129,10,742.61,179.43
339,722,231,7,583.32,121.49
340,662,131,6,109.35,16.52
341,531,221,2,684.73,56.28
342,928,86,4,740.89,38.71
343,165,93,1,612.62,86.57
344,723,66,7,26.17,2.24
345,507,214,7,95.96,7.99
346,200,25,5,277.02,23.88
347,817,258,9,657.73,144.03
348,988,119,10,580.1,120.56
349,575,133,1,461.29,65.41
350,583,260,8,466.69,40.28
351,558,270,10,609.84,99.63
352,119,109,8,255.72,17.38
353,673,12,9,526.73,94.34
354,746,279,1,329.15,46.54
355,894,73,10,63.84,6.39
356,188,3,3,292.52,54.63
357,16,215,3,646.09,102.44
358,753,287,10,149.33,33.95
359,994,6,2,355.61,80.67
360,39,92,7,479.04,43.82
361,282,207,4,621.78,67.37
362,896,262,10,572.69,62.93
363,169,204,4,576.8,81.72
364,399,274,10,277.95,33.67
365,87,289,9,391.15,23.8
366,136,93,9,475.25,23.81
367,269,50,5,220.43,27.18
368,648,5,6,264.74,21.49
369,345,286,9,479.75,60.74
370,69,163,8,223.68,50.85
371,376,229,9,87.99,10.39
372,239,164,7,105.32,15.03
373,161,224,5,474.17,53.68
374,707,166,7,21.49,1.37
375,533,160,10,475.92,27.3
376,180,84,1,567.23,49.21
377,337,92,5,620.64,60.33
378,226,194,5,604.9,121.9
379,659,216,7,621.26,71.47
380,427,133,10,489.96,63.01
381,711,6,5,692.12,90.34
382,588,31,3,273.09,58.73
383,909,201,6,565.99,101.84
384,176,177,7,683.43,114.45
385,671,88,3,274.65,24.8
386,992,208,4,259.56,53.37
387,12,115,5,700.11,167.69
388,301,251,9,113.34,24.49
389,503,178,5,266.47,66.2
390,934,189,6,737.49,64.31
391,343,196,8,345.23,71.93
392,5,257,1,252.23,47.82
393,16,259,1,12.78,1.92
394,49,137,9,32.4,6.2
395,778,245,9,369.63,77.89
396,933,90,6,469.76,30.43
397,642,39,8,449.68,63.9
398,198,46,1,389.08,81.15
399,993,146,9,518.58,85.28
400,769,272,10,214.24,25.84
401,99,280,6,272.74,37.2
402,794,60,7,367.39,52.39
403,400,211,6,266.32,48.44
404,237,87,8,197.47,45.07
405,91,201,7,132.67,6.86
406,337,71,5,10.03,0.58
407,562,195,3,285.72,66.16
408,92,156,3,233.8,21.47
409,151,143,6,486.48,47.66
410,276,282,1,83.75,9.52
411,168,109,8,697.9,84.6
412,260,271,6,65.56,15.27
413,639,6,2,29.61,3.18
414,933,190,1,52.27,4.68
415,901,73,5,434.51,42.98
416,426,80,8,110.47,16.17
417,856,205,5,303.32,65.68
418,955,263,8,292.3,47
419,944,267,10,110.43,17.44
420,913,92,10,740.65,39.7
421,274,59,7,412.74,75.19
422,982,17,8,658.45,132.73
423,153,233,1,614.08,101.66
424,651,41,6,352.97,52.43
425,603,129,10,292.12,41.38
426,382,176,2,168.72,28.6
427,58,258,4,460.55,49.65
428,309,8,5,575.54,103.39
429,295,166,6,524.13,76.18
430,155,119,6,306.79,31.69
431,288,136,1,156.11,17.44
432,611,94,10,253.9,25.63
433,507,80,2,311.51,77.15
434,161,27,1,466.86,95.27
435,491,257,4,739.58,181.85
436,779,91,2,140.02,32.9
437,290,282,3,284.86,15.24
438,187,87,10,175.83,29.39
439,201,92,7,709.28,138.43
440,863,89,8,433.4,35.16
441,957,207,7,664.34,63.33
442,304,91,10,276.84,54.85
443,171,52,1,242.01,51.17
444,541,17,8,513.11,105.83
445,144,30,3,516.13,68.08
446,971,68,5,154.7,19.57
447,895,273,6,51.24,11.1
448,44,128,7,272.79,25.9
449,808,296,1,284.06,29.54
450,4,29,4,271.43,26.22
451,522,209,6,164.63,33.86
452,420,278,6,516.71,126.26
453,644,97,10,266.42,21.26
454,453,11,9,137.64,25.33
455,113,86,8,78.5,7.33
456,813,164,4,246.32,59.84
457,840,38,4,654.9,151.63
458,587,217,5,450.95,47.66
459,216,31,10,342.84,73.98
460,947,85,6,232.31,35.75
461,673,157,10,649.89,106.54
462,281,203,8,21.19,3.03
463,213,262,6,25.09,2.08
464,258,86,9,353.18,29.66
465,896,256,6,305.97,29.54
466,902,91,3,468.89,42.28
467,719,293,1,369.17,46.11
468,118,61,6,540.43,104.23
469,279,69,1,479.79,36.43
470,293,43,7,31.84,6.46
471,234,256,2,151.61,14.53
472,909,90,1,667.77,93.19
473,187,257,4,572.28,108.05
474,9,216,1,456.3,108.9
475,778,120,2,690.38,136.9
476,108,215,7,227.57,13.2
477,855,265,10,630.48,32.08
478,412,24,1,182.71,25.54
479,870,300,7,75.37,4.13
480,895,82,2,478.81,35.29
481,941,223,2,490.41,92.17
482,73,276,8,273.24,47.51
483,185,180,1,603,127.7
484,200,215,5,245.71,44.49
485,424,153,4,332.65,79.34
486,202,277,3,447.29,98.13
487,253,108,8,93.73,5.68
488,435,64,6,506.37,111.97
489,343,13,2,117.11,18.03
490,85,101,4,171.28,30.85
491,887,119,9,159.77,39.43
492,244,226,2,555.07,38.58
493,505,125,2,88.29,13.03
494,831,198,6,93.8,15.59
495,613,131,5,649.76,145.94
496,186,218,6,433,65.5
497,434,95,1,16.64,1.13
498,883,199,6,345.23,73.34
499,66,190,5,39.06,3.58
500,153,244,9,724.58,82.94
501,305,48,2,121.43,14.52
502,502,191,2,442.04,88.56
503,891,194,7,524.17,101.75
504,375,56,3,533.43,67.13
505,649,9,9,283.27,62.61
506,290,104,5,573.44,44.93
507,809,126,3,492.23,90.2
508,269,192,1,304.92,26.69
509,554,39,9,176.22,22.59
510,798,206,4,205.91,17.51
511,719,9,1,55.74,10.81
512,200,205,4,591.86,146.14
513,446,144,2,265.99,31.64
514,76,131,10,36.52,5.98
515,957,281,7,52.64,6.12
516,274,157,1,517.71,114.35
517,444,52,5,707.32,95.13
518,225,172,2,684.84,149.66
519,573,260,1,318.59,59.08
520,211,111,5,533.59,126.36
521,79,41,7,152.31,19.53
522,978,202,4,471.71,29.03
523,504,290,1,508.04,53.11
524,227,66,7,692.62,105.29
525,929,115,1,326.8,72.32
526,351,130,1,23.35,4.12
527,893,39,5,493.8,70.66
528,850,104,10,279.64,47.74
529,569,272,7,633.5,105.42
530,931,116,7,563.51,96.82
531,981,134,8,368.86,52.59
532,27,139,5,331.23,45.7
533,641,207,1,189.97,10.59
534,236,257,2,656.83,65.1
535,188,108,5,367.04,52.05
536,66,40,10,445.96,79.96
537,853,244,6,601.1,119.17
538,978,138,6,243.04,44.78
539,792,170,5,303.76,68.25
540,96,115,8,545.11,122.25
541,335,209,7,70.37,17.14
542,2,95,4,633.9,153.43
543,807,212,9,428.71,51.96
544,759,110,2,619.34,134
545,873,91,2,319.69,30.17
546,722,213,6,494.88,83.97
547,34,56,3,587,58.98
548,426,121,5,311.19,57.51
549,192,24,10,455.58,77.26
550,835,300,10,406.27,85.99
551,402,271,7,139.13,26.53
552,763,4,6,23.46,5.18
553,364,113,1,626.16,35.77
554,426,298,1,661.73,71.06
555,435,7,6,452.72,93.87
556,534,105,6,338.48,18.26
557,424,179,6,51.8,9.33
558,649,180,5,171.08,36.53
559,781,236,4,331.63,41.02
560,701,94,6,175.44,26.38
561,575,237,4,638.69,121.1
562,67,245,4,414.62,30.55
563,178,86,7,47.91,11.38
564,110,1,3,656.31,160.27
565,206,112,6,265.82,31.61
566,98,58,6,138.96,22.1
567,553,60,2,272.44,33.42
568,760,45,5,658.04,156.98
569,94,59,5,646.56,109.25
570,341,89,1,341.38,33.08
571,811,234,8,13.76,2.34
572,75,187,4,68.96,9.74
573,315,137,6,115.75,25.68
574,884,153,5,308.54,56.36
575,264,296,9,374.28,30.8
576,572,171,5,502.84,110.48
577,270,225,8,187.38,29.99
578,769,225,2,734.49,73.75
579,21,117,6,722.97,78.55
580,359,189,10,578.4,108.1
581,434,111,3,25.51,6.15
582,156,229,1,14.12,3.51
583,889,80,10,307.8,62.99
584,377,102,8,3.75,0.2
585,169,292,4,687.83,150
586,554,219,8,522.36,113.03
587,477,229,2,710.89,130.76
588,950,276,8,228.96,42.12
589,341,83,8,617.74,128.22
590,126,261,10,415.72,98.09
591,326,106,9,670.88,139.1
592,406,214,6,588.2,113.53
593,381,242,2,173.61,30.26
594,128,148,9,354.97,30.23
595,309,159,10,358.31,68.95
596,602,123,2,612.16,107.01
597,77,199,5,251.41,46.98
598,986,256,5,62.25,13.37
599,437,199,9,185.71,15.91
600,919,150,7,295.16,27.47
601,612,104,1,234.21,16.07
602,767,65,3,708.92,143.77
603,48,196,9,512.29,69.62
604,137,237,2,667.87,113.91
605,444,270,7,578.15,37.82
606,934,221,8,171.38,16.09
607,843,72,6,685.71,141.14
608,424,173,3,38.52,6.84
609,576,180,4,514.76,48.95
610,667,210,3,458.85,50.87
611,724,251,4,707.78,61.91
612,628,271,2,334.53,20.5
613,657,258,7,451.88,69.13
614,122,198,1,253.69,58.39
615,459,214,5,262.92,46.49
616,241,238,6,161.63,23.8
617,363,92,1,546,119.98
618,153,67,3,224.64,52.24
619,587,284,1,167.64,19.67
620,568,247,4,180.65,33.03
621,49,49,6,422.79,55.8
622,721,294,7,622.56,137.69
623,115,22,10,6.64,0.93
624,728,174,5,187.46,25.91
625,519,94,1,239.94,21.54
626,954,267,1,599.18,92.8
627,194,96,4,40.44,8.71
628,504,265,8,691.05,141.92
629,787,277,9,528.47,116.39
630,963,151,10,736.25,144.56
631,156,83,6,106.84,12.69
632,95,134,10,632.01,70.98
633,355,80,3,513.58,63.83
634,632,110,1,576.3,76.58
635,218,298,7,111.64,15.39
636,810,88,5,99.91,13.31
637,715,103,1,651.47,53.17
638,486,131,6,475.7,72.68
639,251,88,3,683.56,94.25
640,120,125,6,679.94,127.7
641,371,259,9,525.69,88.07
642,144,285,2,303.18,27.45
643,736,104,6,221.6,16.58
644,802,218,1,408.39,35.24
645,730,173,10,287.47,19.88
646,151,259,10,434.9,99.17
647,502,130,8,566.38,140.37
648,184,197,6,377.96,66.85
649,799,273,1,273.88,29.94
650,114,268,7,123.85,12.78
651,226,289,6,106.52,16.31
652,90,261,5,373.81,20.88
653,606,76,7,701.8,84.86
654,95,20,3,369.15,84.48
655,811,124,5,56.72,10.95
656,83,260,10,589.17,40.13
657,585,131,6,199.3,14.28
658,536,266,3,643.72,99.66
659,107,247,9,497.19,107.7
660,367,193,2,54.1,11.83
661,823,30,4,3.71,0.7
662,826,127,7,57.03,4.38
663,488,48,8,455.05,79.42
664,842,3,8,269.72,25.21
665,168,35,10,251.11,35.99
666,656,239,1,603.04,110.2
667,742,185,4,122.13,29.69
668,90,279,10,528.36,56.43
669,699,275,4,174.62,17.47
670,859,48,6,602.65,80.24
671,814,274,7,208.07,30.95
672,916,64,5,237.79,35.47
673,601,101,9,31.02,4.32
674,266,96,1,741.17,39.44
675,352,264,1,480.99,115.23
676,332,173,2,95.08,5.99
677,283,226,5,686.79,92.73
678,973,210,1,263.96,40.25
679,898,106,6,534.74,58.54
680,836,109,3,583.09,49.01
681,34,60,2,31.29,3.14
682,827,255,10,202.56,30.05
683,519,247,7,94.91,8.65
684,915,115,2,569.62,123.54
685,47,199,9,292.4,56.48
686,400,226,5,547.62,31.15
687,873,146,10,219.15,34.24
688,268,285,7,638.66,75.85
689,200,164,6,152.88,9.41
690,56,246,1,202.94,30.84
691,692,154,5,347.73,25.8
692,624,23,2,84.28,16.98
693,908,81,10,332.54,58.07
694,869,132,7,457.88,50.44
695,99,98,6,743.64,114.46
696,857,217,10,546.44,94.87
697,947,138,8,649.38,155.31
698,928,217,7,729.77,81.82
699,67,20,10,149.74,16.46
700,722,141,3,304.79,19.98
701,729,203,1,209.27,20.42
702,763,38,7,299.45,42.95
703,791,10,10,561.65,87.53
704,457,240,2,208.22,42.11
705,964,103,10,112.95,23.09
706,342,61,8,165.86,31.23
707,414,12,1,594.73,142.4
708,111,210,6,51.82,11.7
709,111,256,10,25.69,4.2
710,502,29,3,656.99,55.3
711,639,133,8,483.41,48.82
712,722,53,6,733.41,107.78
713,588,142,8,685.94,170
714,400,173,8,150.51,35.81
715,711,3,1,440.77,94.61
716,264,267,10,534.22,90.35
717,462,144,2,732.54,62.78
718,303,154,10,318.2,62.06
719,605,31,4,10.65,1.77
720,862,149,5,251.93,20.49
721,180,172,3,717.46,97.4
722,937,193,4,223.39,51.95
723,700,3,8,332.31,21.16
724,935,47,5,538.8,78.67
725,619,134,3,106.74,9.6
726,525,76,3,77.96,15.03
727,560,268,4,397.55,59.21
728,152,193,8,560.18,70.04
729,275,65,10,528.38,74.2
730,303,238,1,120.47,13.68
731,208,224,4,631.52,37.42
732,281,242,5,711.4,132.66
733,552,189,6,474.64,64.08
734,653,201,9,269.51,31.34
735,28,122,9,341.78,57.83
736,365,293,6,228.52,28.19
737,293,76,7,540.45,89.12
738,428,220,9,372.78,76.15
739,487,177,10,368.08,88.2
740,653,123,10,383.68,54.61
741,66,275,2,229.75,52.56
742,920,44,5,327.81,61.86
743,596,86,6,114.56,9.9
744,608,71,1,385.2,38.9
745,727,185,8,747.14,41.28
746,470,243,7,674.91,41.42
747,553,161,10,423.44,56.51
748,378,262,8,456.62,24.22
749,865,23,9,147.38,31.34
750,466,10,10,24.7,4.26
751,343,79,2,321.15,30.06
752,103,83,7,449.76,61.13
753,114,41,10,249.03,20.73
754,596,179,8,279.4,28.25
755,991,228,4,398.29,32.87
756,473,108,4,521.44,92.27
757,583,23,3,401.94,67.65
758,354,291,1,177.41,38.43
759,221,161,10,366.04,28.04
760,293,165,8,234.1,13.01
761,432,236,8,616.64,152.43
762,652,216,5,348.89,23.53
763,369,220,4,220.24,11.51
764,637,117,6,214.59,37.57
765,821,54,8,207.76,37.01
766,892,205,4,494.6,56.79
767,392,189,7,141.78,34.54
768,970,221,1,696.67,78.65
769,989,300,3,160.36,18.99
770,84,202,7,122.24,22.19
771,985,57,2,134.15,33.34
772,535,133,1,167.32,28.37
773,871,23,4,578.2,104.78
774,42,220,2,84.4,12.35
775,325,38,3,110.87,21.14
776,610,203,3,13.41,2.39
777,285,50,9,176.14,36.26
778,486,195,1,21.59,1.42
779,325,160,1,41.1,8.17
780,950,27,3,151.43,35.75
781,161,5,1,396.37,87.82
782,705,83,6,594.54,35.26
783,470,193,9,649.65,151.54
784,206,256,2,20.59,3.31
785,229,198,5,41.04,2.96
786,973,276,6,3.42,0.27
787,536,300,8,723.48,100.2
788,704,48,5,645.01,93.77
789,218,78,4,313.55,39.56
790,979,249,8,154.14,18.69
791,902,299,7,631.51,154.38
792,343,20,5,547.02,38.85
793,860,255,4,730.84,45.55
794,615,207,9,601.43,82.65
795,294,100,2,177.07,25.29
796,889,90,1,565.07,103.94
797,582,167,8,169.01,36.11
798,98,223,10,254.82,62.63
799,908,3,5,84.09,16.9
800,137,91,5,520.58,50.68
801,448,82,3,284.9,43.94
802,315,181,7,718.88,39.93
803,336,232,5,554.88,64.66
804,579,45,10,550.66,126.65
805,788,271,4,571.04,87.47
806,387,296,8,730.05,139.19
807,646,291,6,574.66,63.57
808,742,44,9,486.1,45.88
809,443,179,5,160.65,34.06
810,723,72,4,60.41,6.85
811,142,214,4,276.43,63.11
812,541,136,2,346.25,41.92
813,4,228,5,58.2,5.08
814,163,206,10,269.57,21.23
815,693,90,9,172.42,9.94
816,207,228,9,40.75,9.38
817,673,112,3,356.61,54.44
818,600,206,3,582.04,77.2
819,446,215,9,312.19,59.93
820,995,16,10,97.55,7.09
821,930,33,1,47.01,11.17
822,538,182,8,600.54,141.74
823,792,106,1,533.52,80.8
824,409,186,10,322.39,17.54
825,908,197,10,639.77,116.06
826,630,96,1,716.42,64.63
827,434,12,8,135.19,14.06
828,423,142,10,86.71,14.27
829,626,10,1,276.58,58.55
830,788,227,1,613.18,148.05
831,903,281,4,118.68,8.08
832,926,110,9,540.32,113.99
833,812,263,2,198.34,31.74
834,987,140,10,18.09,0.92
835,1000,19,3,644.64,124.53
836,246,99,10,448.72,106.15
837,345,132,10,744.31,170.65
838,31,290,6,25.63,4.9
839,618,119,1,538.71,41.62
840,907,180,4,697.63,87.12
841,778,132,4,37.94,2.89
842,764,50,3,361.59,19.28
843,67,17,4,269.08,58.35
844,392,140,6,725.4,38.12
845,553,87,8,298.95,15.42
846,230,107,9,647.1,67.53
847,216,229,5,447.61,79.5
848,697,294,7,574.88,33.86
849,708,19,2,608.11,86.08
850,689,142,6,661.97,136.92
851,755,130,7,526.23,80.44
852,990,203,10,670.55,157.84
853,899,97,5,588.29,64.87
854,435,13,5,266.71,57.25
855,517,35,3,552.89,70.1
856,286,292,10,439.29,64.8
857,94,270,6,598.23,36.05
858,450,204,7,545.14,121.8
859,117,203,7,698.95,172.79
860,803,16,8,719.11,63.73
861,140,209,9,677.86,51.51
862,384,108,3,487.9,116.59
863,833,237,10,734.53,60.48
864,617,91,10,94.25,19.54
865,500,261,6,497.69,83.61
866,132,226,5,397.15,24.58
867,953,294,5,353.07,77.52
868,774,227,4,168.64,30.35
869,625,6,6,683.96,101.44
870,83,257,7,283.5,55.3
871,721,105,2,475.53,30.9
872,803,213,8,124.74,28.07
