idventa,idcliente,idusuario,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado
27,270,17,Receipt,R,R479772,2022-08-23,11.42,637.18,Cancelled
28,583,41,Invoice,L,L077866,2022-07-31,4.22,775.51,Processed
29,275,31,Invoice,R,R212951,2022-05-12,7.91,3423.33,Cancelled
30,366,40,Receipt,Z,Z883151,2020-08-26,6.25,1338.98,Processed
31,534,17,Invoice,C,C739284,2023-09-07,8.31,9479.99,Pending
32,338,47,Receipt,K,K909869,2023-05-15,6.55,8620.2,Pending
33,236,3,Invoice,O,O651887,2022-07-11,2.17,8009.48,Processed
34,181,21,Receipt,L,L586080,2021-02-19,11.78,6260.16,Processed
35,449,19,Receipt,U,U133312,2022-11-18,5.04,6884.67,Processed
36,451,34,Invoice,Y,Y080509,2022-05-06,8.97,8137.33,Cancelled
37,549,1,Receipt,Z,Z875737,2022-01-18,4.77,3720.48,Processed
38,598,16,Receipt,H,H305660,2023-01-20,10.51,7887.68,Processed
39,119,46,Receipt,X,X026452,2023-03-04,0.57,9370.35,Processed
40,427,14,Invoice,H,H153460,2020-12-10,2.87,2651.62,Processed
41,160,27,Receipt,D,D856606,2021-12-29,9.97,1309.68,Pending
42,310,19,Receipt,R,R288526,2023-10-11,13.12,1770.2,Cancelled
43,329,5,Invoice,B,B117431,2023-08-17,4.14,2541.83,Processed
44,303,13,Receipt,R,R784169,2020-06-14,4,3220.23,Processed
45,221,49,Invoice,W,W160209,2021-12-07,0.26,6443.08,Processed
46,556,23,Invoice,N,N260572,2023-06-21,11.49,7809.64,Pending
47,354,18,Receipt,I,I996194,2022-04-02,2.16,1763.08,Cancelled
48,309,49,Invoice,W,W536064,2022-04-01,9.74,3111.11,Processed
49,300,50,Invoice,R,R007809,2021-01-29,14.47,7427.4,Processed
50,592,12,Invoice,K,K812107,2020-01-05,6.72,7332.56,Pending
51,346,7,Invoice,K,K220917,2021-11-30,14.19,7524.33,Cancelled
52,176,6,Invoice,W,W717848,2022-08-28,8.85,8111.77,Pending
53,449,37,Receipt,U,U073822,2023-01-13,9.87,3290.85,Pending
54,566,48,Receipt,V,V496694,2022-09-15,7.56,3711.59,Processed
55,474,50,Receipt,W,W196015,2021-10-31,6.2,9311.17,Pending
56,465,38,Receipt,L,L894608,2020-12-06,5.94,7511.79,Processed
57,531,46,Receipt,P,P293487,2023-06-25,3.73,907.37,Processed
58,226,26,Receipt,E,E164817,2023-03-07,12.5,6505.05,Pending
59,579,11,Invoice,L,L303652,2020-04-10,2.27,9489.09,Processed
60,597,3,Receipt,S,S914001,2022-09-23,3.05,939.39,Cancelled
61,300,23,Invoice,R,R937179,2021-03-29,0.24,1924.34,Pending
62,214,35,Receipt,U,U595112,2022-07-08,4.71,306.97,Pending
63,447,17,Receipt,K,K675312,2023-06-13,10.41,4666.17,Cancelled
64,535,10,Invoice,O,O467913,2023-12-13,2.12,6344.49,Cancelled
65,327,25,Invoice,N,N102554,2022-06-01,14.48,9145.13,Pending
66,565,23,Invoice,Q,Q832294,2020-12-29,0.43,6058.09,Pending
67,215,26,Invoice,N,N410901,2023-12-26,3.41,8476.24,Pending
68,199,7,Receipt,N,N988179,2020-03-09,3.4,8581.41,Cancelled
69,494,33,Invoice,T,T189389,2021-10-23,9.19,4969.73,Processed
70,583,30,Receipt,Y,Y792146,2021-11-30,8.13,6576.96,Cancelled
71,473,8,Invoice,S,S391880,2022-01-07,11.78,4628.35,Pending
72,135,39,Invoice,F,F513928,2021-03-27,13.45,5224.34,Processed
73,593,4,Receipt,Y,Y361765,2022-11-27,12.29,2917.19,Processed
74,276,1,Invoice,P,P747516,2021-04-15,4.29,8101.91,Pending
75,460,48,Receipt,U,U770352,2021-08-27,7.43,3841.34,Pending
76,558,44,Invoice,U,U241343,2021-12-01,10.95,3707.24,Cancelled
77,364,35,Invoice,K,K855781,2023-10-04,10.93,351.42,Cancelled
78,483,17,Invoice,E,E773329,2022-07-19,9.57,5811.14,Processed
79,443,4,Invoice,U,U589072,2022-02-07,1.79,9639.56,Pending
80,304,19,Receipt,G,G615775,2020-11-04,6.57,465.38,Processed
81,411,44,Receipt,K,K073891,2023-08-28,1.47,2918.71,Processed
82,186,7,Invoice,N,N861494,2021-06-04,8.66,2532.7,Processed
83,331,10,Invoice,F,F857722,2023-07-11,8.88,3614.22,Pending
84,491,13,Invoice,R,R015275,2021-05-18,0.48,2890.7,Pending
85,273,14,Receipt,K,K017181,2021-01-14,7.66,8456.57,Cancelled
86,591,48,Receipt,B,B442560,2023-04-17,9.7,900.19,Processed
87,339,45,Invoice,M,M900374,2023-12-07,10.82,5134.6,Pending
88,523,27,Invoice,L,L218016,2022-12-27,14.27,1506.75,Cancelled
89,309,26,Invoice,V,V886348,2023-01-28,4.77,2274.76,Processed
90,574,44,Receipt,B,B582133,2021-04-23,3.24,1831.88,Processed
91,266,26,Receipt,K,K600859,2023-07-12,11.57,3311.01,Processed
92,323,4,Receipt,R,R302274,2021-10-08,5.32,6203.24,Cancelled
93,551,44,Invoice,N,N273127,2020-10-24,10.32,3603.13,Cancelled
94,336,44,Invoice,W,W627094,2023-12-04,13.4,2640.33,Cancelled
95,371,33,Receipt,M,M507183,2023-12-12,10.71,8161.89,Cancelled
96,287,28,Invoice,Z,Z915191,2020-03-17,8.29,7156.76,Processed
97,588,35,Receipt,Y,Y830333,2020-05-16,10.87,5639.11,Cancelled
98,279,42,Invoice,M,M861653,2020-10-31,12.57,1942.23,Processed
99,303,36,Invoice,K,K430189,2023-05-03,5.54,3555.21,Pending
100,474,43,Invoice,O,O226397,2021-11-28,13.47,9073.18,Cancelled
101,152,40,Invoice,N,N991533,2023-11-06,3.17,9175.28,Pending
102,410,33,Receipt,N,N333649,2023-05-31,0.01,288.05,Cancelled
103,241,38,Receipt,R,R251406,2020-03-01,0.22,1564.73,Processed
104,554,30,Receipt,N,N942648,2022-04-19,12.94,509.19,Pending
105,447,50,Receipt,P,P536417,2020-08-20,5.94,2606.4,Cancelled
106,364,25,Invoice,L,L529082,2022-12-12,10.84,2822.18,Cancelled
107,119,13,Receipt,V,V820293,2023-07-26,6.54,2193.23,Pending
108,538,5,Invoice,Z,Z593737,2020-03-10,10.87,9768.13,Processed
109,327,34,Receipt,L,L674500,2022-06-24,2.09,5543.48,Cancelled
110,514,20,Receipt,F,F057504,2020-02-03,5.67,5781.02,Pending
111,213,11,Invoice,P,P563027,2021-01-14,6.47,8201.17,Cancelled
112,460,26,Receipt,D,D017148,2021-06-24,6.65,3870.43,Cancelled
113,477,12,Invoice,H,H992503,2023-08-13,14.25,3701.41,Pending
114,176,10,Receipt,W,W792038,2020-01-06,7.62,5832.48,Cancelled
115,316,21,Invoice,R,R461095,2021-12-29,13.12,5299.39,Cancelled
116,275,34,Invoice,W,W744422,2020-03-12,8.22,3128.67,Processed
117,525,28,Invoice,A,A979733,2023-05-26,5.52,1476.27,Pending
118,340,32,Invoice,A,A435624,2022-05-09,1.86,9907.89,Pending
119,462,15,Invoice,Z,Z805860,2023-02-23,9.52,9443.18,Cancelled
120,431,50,Invoice,W,W573492,2021-05-17,8.75,4747.71,Processed
121,308,25,Invoice,S,S170686,2021-12-14,4.15,8229.55,Processed
122,470,47,Receipt,R,R515807,2020-12-16,1.42,8965.7,Cancelled
123,193,34,Receipt,D,D103526,2023-08-22,9.68,1120.89,Cancelled
124,414,33,Receipt,A,A338264,2023-05-08,8.85,4203.32,Pending
125,504,44,Receipt,K,K890627,2023-04-13,11.58,8476.23,Cancelled
126,163,42,Invoice,L,L908594,2022-08-22,11.99,6868.9,Pending
127,543,29,Receipt,E,E684378,2022-08-28,12.89,6742.69,Processed
128,224,44,Receipt,R,R428528,2023-07-24,7.22,3119.49,Processed
129,320,46,Receipt,L,L484057,2020-01-23,0.39,5728.83,Pending
130,199,26,Receipt,Q,Q652604,2022-11-30,3.4,3950.59,Processed
131,201,32,Receipt,W,W229807,2023-05-29,0.59,1170.51,Pending
132,597,41,Invoice,N,N835293,2020-09-09,2.54,5735.81,Pending
133,423,34,Receipt,D,D058957,2023-09-19,6.84,8105.79,Pending
134,236,32,Invoice,I,I561119,2021-09-23,4.09,5540.06,Cancelled
135,251,35,Receipt,Y,Y056254,2020-10-16,7.53,3350.2,Pending
136,293,17,Receipt,P,P277220,2021-12-25,3.36,5488.89,Pending
137,286,28,Invoice,W,W837988,2022-08-30,6.84,8791.24,Processed
138,447,21,Receipt,E,E145441,2023-06-26,6.74,800.9,Pending
139,495,22,Receipt,S,S086137,2020-05-26,5.18,809.09,Cancelled
140,461,23,Invoice,J,J404826,2020-06-21,4.44,9022.99,Processed
141,148,31,Receipt,X,X386019,2022-02-13,14.99,305.65,Processed
142,475,43,Invoice,J,J718386,2020-05-09,6.95,2593.74,Cancelled
143,556,24,Receipt,O,O579567,2020-09-24,10.14,8599.98,Pending
144,452,49,Invoice,S,S537678,2020-07-14,11.61,6054.8,Processed
145,349,28,Receipt,C,C529757,2023-08-30,3.78,3965.91,Pending
146,263,26,Invoice,P,P930195,2023-08-15,8.19,9602.02,Pending
147,239,31,Receipt,T,T256014,2022-05-20,10.94,8032.7,Pending
148,239,9,Receipt,U,U260254,2022-01-29,6.73,7135.45,Cancelled
149,194,20,Invoice,Z,Z813365,2020-05-11,8.32,9030.51,Pending
150,172,3,Invoice,O,O724141,2022-06-14,10.01,4620.77,Processed
151,249,38,Receipt,U,U984789,2020-09-18,11.28,7573.31,Pending
152,290,24,Receipt,O,O202836,2021-09-02,9.56,8988.45,Processed
153,566,30,Invoice,U,U451708,2020-08-08,4.45,1098.9,Cancelled
154,386,30,Invoice,W,W752305,2021-08-01,9.91,4059.3,Cancelled
155,542,21,Receipt,U,U026558,2021-09-26,13.6,375.49,Pending
156,560,5,Receipt,V,V816002,2021-11-30,13.69,812.16,Pending
157,364,11,Invoice,I,I809145,2023-06-29,7.47,8393.55,Cancelled
158,571,19,Invoice,E,E352253,2020-11-08,12.67,5573.56,Processed
159,330,11,Receipt,W,W010426,2022-02-10,12.9,4236.79,Cancelled
160,414,35,Invoice,I,I261329,2020-04-14,0.85,9587.95,Cancelled
161,320,41,Receipt,M,M743055,2022-11-17,13.89,660.04,Pending
162,283,24,Invoice,Y,Y006144,2023-10-05,6.49,6420.87,Cancelled
163,180,17,Receipt,M,M025893,2020-07-24,5.74,5763.51,Pending
164,440,14,Receipt,F,F765759,2022-04-03,3.61,3200.9,Pending
165,349,17,Invoice,K,K490927,2021-01-07,12.83,9308.01,Cancelled
166,445,47,Invoice,R,R128173,2020-02-06,13.41,6304.85,Cancelled
167,585,7,Invoice,W,W708733,2023-04-23,2.51,6486.81,Pending
168,161,30,Invoice,P,P848550,2023-08-11,12.51,8513.13,Cancelled
169,490,6,Receipt,R,R687777,2020-09-11,5.85,2485.74,Pending
170,364,28,Receipt,C,C520345,2022-03-21,4.02,3326.23,Pending
171,156,34,Receipt,G,G599161,2021-11-21,0.61,8437.29,Processed
172,191,38,Invoice,Q,Q443755,2023-06-20,8.6,6722.76,Processed
173,209,29,Receipt,R,R146696,2020-09-15,14.45,3440.44,Pending
174,521,29,Receipt,N,N920398,2023-03-15,14.21,2998.12,Cancelled
175,245,18,Receipt,G,G900988,2023-07-18,0.86,6797.39,Pending
176,367,26,Receipt,F,F540560,2021-03-04,7.9,9773.66,Cancelled
177,176,4,Receipt,A,A632924,2021-08-20,1.57,7902.64,Cancelled
178,521,14,Invoice,K,K968782,2020-07-13,4.79,2065.3,Processed
179,526,50,Receipt,R,R656061,2022-01-29,9.67,6063.27,Processed
180,314,2,Invoice,T,T160282,2022-09-05,1.32,9105.14,Pending
181,480,38,Receipt,E,E370976,2022-02-20,10.52,1603.6,Pending
182,162,29,Invoice,H,H292166,2023-07-10,7,9772.41,Processed
183,167,50,Invoice,C,C486461,2020-03-30,14.39,8986.07,Cancelled
184,255,25,Invoice,M,M743431,2021-07-05,9.35,7892.96,Processed
185,264,33,Receipt,Z,Z892750,2020-08-21,2.2,5955.31,Processed
186,416,44,Receipt,L,L858893,2023-02-14,13.61,954.65,Processed
187,378,37,Invoice,Q,Q097261,2020-05-09,4.75,2323.07,Processed
188,591,47,Receipt,E,E666011,2023-06-30,3.01,6526.86,Processed
189,584,26,Receipt,Y,Y763229,2021-09-01,3.68,7451.79,Cancelled
190,562,31,Invoice,R,R162546,2021-11-04,6.47,4449.1,Processed
191,530,35,Receipt,I,I083027,2021-04-26,14.59,4138.39,Processed
192,495,28,Invoice,P,P549507,2022-08-24,8.71,2263.65,Pending
193,114,14,Receipt,F,F285446,2023-10-16,10.03,2997.93,Cancelled
194,119,32,Invoice,W,W626022,2023-09-14,11.86,9384.11,Processed
195,507,26,Receipt,Y,Y569919,2022-01-26,14.16,4126.63,Processed
196,196,45,Receipt,R,R379300,2021-07-17,13.19,7308.31,Cancelled
197,550,21,Invoice,V,V378083,2021-12-21,4.64,2053,Cancelled
198,527,36,Receipt,X,X662185,2022-08-10,12.17,4248.21,Pending
199,385,50,Receipt,C,C688410,2020-04-18,8.38,5621.72,Pending
200,439,44,Receipt,F,F965853,2020-02-13,2.61,6464.18,Pending
201,110,25,Receipt,X,X131466,2023-03-15,5.18,2327.01,Pending
202,363,34,Receipt,E,E403427,2020-10-07,3.9,7127.78,Pending
203,384,50,Invoice,I,I992169,2023-05-23,13.13,5846.2,Cancelled
204,426,37,Invoice,Q,Q781576,2020-10-20,2.16,1124.98,Cancelled
205,443,15,Invoice,C,C302376,2020-05-15,11.88,3463.7,Pending
206,578,6,Invoice,L,L954775,2022-04-26,0.6,6834.17,Cancelled
207,342,37,Receipt,K,K405383,2023-08-06,13.37,548.65,Cancelled
208,516,35,Receipt,H,H358845,2021-04-27,6.5,3962.99,Processed
209,263,19,Receipt,V,V684395,2023-08-09,2.17,6156.11,Pending
210,229,2,Receipt,Z,Z228011,2022-09-30,7.93,2028.6,Cancelled
211,422,37,Invoice,H,H379021,2021-05-11,6.68,723.48,Pending
212,466,28,Invoice,R,R982632,2021-03-17,12.98,5345.37,Cancelled
213,485,22,Invoice,V,V687228,2020-06-30,8.65,3425.05,Processed
214,302,28,Receipt,F,F253521,2021-01-04,2.41,9810.26,Cancelled
215,505,50,Invoice,Z,Z356222,2023-03-11,5.26,4574.48,Pending
216,196,34,Receipt,Q,Q260724,2022-01-19,6.06,9258.73,Cancelled
217,197,23,Invoice,W,W426823,2022-02-13,9.33,606.17,Processed
218,494,39,Receipt,K,K158637,2020-03-07,5.68,4437.26,Pending
219,126,46,Receipt,K,K146141,2022-11-01,3.05,3193.13,Cancelled
220,387,17,Invoice,U,U731159,2021-12-24,10.2,306.35,Cancelled
221,521,3,Invoice,R,R713604,2020-12-15,5.1,1121.66,Pending
222,319,26,Invoice,K,K205160,2023-02-25,0.82,9841.02,Processed
223,157,25,Receipt,K,K009847,2021-07-06,9.67,4931.16,Cancelled
224,295,14,Invoice,R,R901588,2020-08-22,2.03,2910.41,Processed
225,219,37,Receipt,V,V333881,2020-10-17,7.64,5077.15,Pending
226,315,21,Receipt,S,S292053,2021-05-31,10.9,5604.39,Pending
227,571,49,Invoice,P,P614133,2023-02-16,0.53,9822.27,Processed
228,469,12,Invoice,S,S308006,2022-08-10,9.88,298.87,Processed
229,189,41,Receipt,F,F800600,2021-09-14,5.47,8086.21,Cancelled
230,197,43,Invoice,B,B369761,2020-09-24,12.83,5300.94,Cancelled
231,264,29,Invoice,J,J822657,2022-04-02,1.78,8099.33,Cancelled
232,239,6,Receipt,R,R047562,2020-11-05,6.84,1541.97,Pending
233,278,40,Invoice,E,E963732,2023-04-08,13.17,6959.36,Pending
234,221,20,Invoice,U,U381784,2021-12-22,14.82,839.2,Processed
235,510,24,Invoice,S,S818993,2023-09-07,6.89,9105.61,Cancelled
236,356,22,Invoice,G,G857344,2020-06-16,1.05,1569.65,Pending
237,471,14,Receipt,U,U347841,2023-12-06,3.18,7615.82,Processed
238,377,28,Invoice,A,A275480,2020-07-12,0.16,1188.01,Processed
239,250,32,Receipt,P,P819926,2021-07-18,1.26,3092.43,Cancelled
240,296,19,Receipt,Q,Q043591,2021-11-21,0.31,5394.33,Pending
241,215,35,Receipt,Z,Z225797,2020-04-11,7.7,8866.15,Processed
242,287,24,Receipt,W,W562305,2021-03-03,9.37,113.62,Processed
243,277,16,Invoice,S,S702348,2022-09-03,4.35,1720.82,Cancelled
244,120,10,Invoice,D,D892743,2022-06-27,6.43,4722.22,Cancelled
245,466,41,Receipt,G,G829812,2023-02-10,0.08,1435.52,Cancelled
246,382,28,Receipt,U,U704034,2023-02-11,14.49,8227.91,Cancelled
247,411,1,Receipt,L,L171284,2020-04-04,11.33,5171.77,Pending
248,329,38,Receipt,E,E645779,2022-07-28,12.73,8876.02,Cancelled
249,334,44,Receipt,R,R810253,2020-10-25,12.55,2519.09,Pending
250,457,8,Invoice,R,R098944,2022-04-27,13.82,1132.35,Cancelled
251,477,50,Receipt,D,D949104,2022-11-30,2.34,7530.42,Processed
252,175,19,Receipt,S,S920017,2021-02-09,11.86,7490.57,Cancelled
253,421,16,Receipt,P,P775406,2022-02-26,10.85,9327.05,Pending
254,253,34,Receipt,Q,Q728409,2023-01-06,3.07,9782.35,Processed
255,135,12,Invoice,V,V163150,2021-05-19,6.94,248.82,Pending
256,414,18,Invoice,P,P996343,2023-12-04,8.25,1992.2,Cancelled
257,213,28,Invoice,M,M366051,2020-10-25,13.59,3084.81,Cancelled
258,208,14,Invoice,X,X325309,2022-08-27,11.6,5626.26,Processed
259,554,7,Invoice,K,K876748,2020-12-31,9.83,261.36,Processed
260,280,15,Receipt,T,T486861,2022-05-07,1.47,9468.49,Pending
261,224,1,Invoice,F,F065051,2023-06-29,3.82,4523.43,Processed
262,548,23,Invoice,A,A907633,2020-10-26,2.02,7763.17,Pending
263,167,5,Receipt,C,C511708,2020-12-26,9.84,560.47,Pending
264,530,9,Receipt,C,C140117,2021-07-02,5.95,8345.25,Cancelled
265,573,8,Receipt,N,N660975,2023-03-21,12.71,6359.27,Cancelled
266,112,5,Invoice,L,L843356,2023-10-06,2.04,9367.31,Cancelled
267,463,50,Receipt,K,K225299,2023-12-30,14.86,5550.51,Cancelled
268,222,41,Invoice,Q,Q178356,2023-08-15,13.35,6975.75,Processed
269,153,11,Invoice,T,T911022,2022-04-26,11.46,1600.62,Processed
270,347,27,Receipt,Q,Q881706,2021-11-25,7.97,2349.73,Processed
271,169,23,Receipt,E,E716521,2022-07-13,6.36,4218.03,Pending
272,322,35,Receipt,N,N109154,2023-11-08,12.86,3632.67,Pending
273,371,12,Invoice,P,P296399,2020-02-10,11.28,6206.11,Cancelled
274,438,14,Invoice,K,K360727,2020-04-13,0.75,5309.73,Pending
275,188,36,Invoice,V,V038033,2021-07-10,13.2,5235.22,Cancelled
276,497,45,Invoice,S,S651091,2021-07-07,4.3,3800.37,Processed
277,365,28,Receipt,C,C275770,2021-10-03,0.94,6809.34,Cancelled
278,516,50,Receipt,H,H019624,2021-03-14,14.98,4242.26,Processed
279,391,40,Invoice,R,R683814,2020-12-17,6.02,3717.93,Processed
280,259,14,Invoice,A,A415690,2023-11-02,0.12,4400.54,Processed
281,487,20,Receipt,G,G354088,2021-08-23,8.7,3267.12,Cancelled
282,319,39,Receipt,X,X110391,2020-06-02,11.64,2968.9,Cancelled
283,471,23,Invoice,J,J394827,2021-08-12,1.29,6958.2,Cancelled
284,232,20,Receipt,I,I010164,2021-01-27,7.43,2272.48,Pending
285,144,42,Receipt,G,G215002,2022-01-06,14.91,8799.97,Pending
286,184,42,Receipt,U,U482463,2020-05-24,5.38,2079.82,Processed
287,508,25,Invoice,V,V596518,2023-04-06,13.08,7292.78,Cancelled
288,153,37,Receipt,T,T197164,2023-09-18,0.1,1292.46,Cancelled
289,243,29,Receipt,I,I318357,2023-12-06,6.14,2767.84,Cancelled
290,411,39,Receipt,D,D361575,2023-10-12,7.6,3891.96,Pending
291,321,4,Receipt,V,V880814,2021-03-09,4.41,2818.13,Pending
292,480,10,Receipt,I,I223770,2023-12-27,12.17,1425.52,Cancelled
293,177,5,Invoice,W,W044832,2021-12-16,5.88,8975.18,Pending
294,406,15,Invoice,E,E880234,2023-06-30,8.59,9749.7,Pending
295,222,17,Receipt,L,L438694,2021-02-22,1.16,5998.93,Processed
296,528,43,Invoice,O,O136148,2023-12-18,12,388.72,Pending
297,405,24,Invoice,C,C012056,2020-09-06,4.85,7426.38,Processed
298,536,22,Receipt,A,A574198,2021-01-30,4.65,1959.08,Processed
299,307,5,Receipt,C,C678557,2023-04-17,2.89,5460.01,Pending
300,544,14,Invoice,M,M176933,2022-11-24,4.41,6365.42,Cancelled
301,598,38,Receipt,V,V135326,2022-09-07,8.7,3225.41,Pending
302,364,42,Receipt,P,P132944,2020-02-26,4.96,8219.44,Pending
303,362,29,Receipt,E,E562370,2021-12-14,10.84,7797.73,Processed
304,343,19,Receipt,A,A880212,2023-03-06,12.22,6230.33,Processed
305,371,45,Receipt,E,E677468,2020-09-25,5.66,8435.62,Processed
306,226,33,Receipt,B,B203460,2022-05-24,9.98,6848.39,Cancelled
307,193,3,Receipt,X,X353122,2023-09-06,8.44,6354.26,Cancelled
308,418,24,Receipt,J,J129430,2022-11-02,9.72,4288.07,Cancelled
309,587,9,Receipt,O,O339443,2020-09-27,4.31,8823.07,Pending
310,319,3,Receipt,N,N426937,2023-08-31,4.85,6899.89,Pending
311,256,16,Receipt,N,N009913,2021-03-30,3.09,1976.56,Pending
312,191,21,Receipt,R,R885276,2023-09-03,13.22,2909.6,Processed
313,152,27,Invoice,V,V173596,2020-01-12,14.86,8382.29,Processed
314,582,37,Receipt,O,O406515,2022-12-06,0.37,5219.74,Pending
315,565,9,Receipt,Y,Y219605,2023-05-30,12.22,7569,Processed
316,382,19,Receipt,Z,Z711462,2020-10-16,8.15,3739.32,Pending
317,207,33,Invoice,N,N958076,2020-08-21,7.46,909.86,Cancelled
318,181,7,Receipt,H,H802723,2020-06-26,2.22,3964.33,Processed
319,297,29,Receipt,U,U930564,2022-11-07,9.58,2056.12,Pending
320,418,41,Invoice,U,U782483,2021-07-30,4.77,6122.66,Pending
321,349,7,Invoice,U,U080717,2021-08-30,3.75,4192.46,Cancelled
322,508,25,Invoice,S,S264047,2020-03-02,12.37,7238.06,Pending
323,586,18,Invoice,A,A669164,2021-04-10,9.36,5509.25,Cancelled
324,177,23,Invoice,U,U502742,2021-07-02,3.05,7439.6,Cancelled
325,450,35,Invoice,S,S276596,2023-10-16,11.17,6437.24,Processed
326,240,40,Receipt,M,M134010,2023-10-21,14.41,4541.1,Cancelled
327,389,12,Receipt,E,E793943,2023-11-28,11.4,2887.56,Cancelled
328,465,50,Receipt,G,G736284,2020-11-17,4.95,4765.38,Pending
329,389,33,Invoice,I,I009251,2020-01-24,9.32,9199.73,Processed
330,188,43,Receipt,X,X069075,2021-09-03,5.07,4469.98,Processed
331,446,25,Invoice,P,P433028,2020-01-02,1.31,4207.49,Processed
332,192,31,Invoice,O,O062007,2023-05-03,0.27,9842.68,Cancelled
333,439,47,Invoice,L,L315728,2022-09-22,7.57,4119.8,Processed
334,368,7,Receipt,A,A819962,2021-12-20,8.54,7622.39,Cancelled
335,142,9,Receipt,I,I476930,2021-09-28,1.2,8862.46,Cancelled
336,583,28,Receipt,U,U680446,2023-09-18,6.1,9650.14,Processed
337,458,45,Invoice,B,B403315,2022-06-23,5.39,8067.16,Processed
338,582,36,Invoice,G,G859431,2023-05-20,2.55,2622.99,Cancelled
339,568,19,Receipt,B,B906156,2023-06-27,6.43,140,Cancelled
340,457,33,Invoice,G,G930690,2020-01-31,8.78,3080.39,Cancelled
341,374,24,Receipt,J,J776978,2020-10-26,7.57,815.12,Pending
342,488,46,Receipt,G,G963486,2021-11-09,2.03,828.08,Cancelled
343,348,10,Invoice,A,A714082,2020-05-16,7.66,1588.67,Cancelled
344,384,1,Invoice,L,L916777,2022-08-01,11.38,9202.13,Processed
345,325,34,Receipt,X,X838424,2022-05-18,12.53,2968.12,Processed
346,156,38,Receipt,V,V876611,2020-11-14,7.84,7924.84,Processed
347,524,48,Invoice,C,C446506,2020-11-25,8.03,5029.63,Pending
348,182,36,Invoice,G,G490818,2022-10-13,1.97,6930.91,Processed
349,584,17,Invoice,P,P207578,2022-08-18,4.37,3026.85,Cancelled
350,171,33,Receipt,L,L653464,2020-07-14,2.58,1648.53,Pending
351,126,9,Receipt,G,G423425,2020-09-28,13.3,5688.64,Processed
352,345,41,Invoice,P,P465803,2022-08-04,12.04,1643.27,Pending
353,388,12,Invoice,D,D631296,2020-12-02,1.38,6456.32,Processed
354,220,42,Receipt,T,T259727,2021-10-13,5.66,3723.36,Cancelled
355,142,27,Receipt,I,I947627,2023-03-07,9.75,4497.93,Processed
356,409,46,Receipt,O,O511662,2020-12-17,7.66,8645.64,Processed
357,481,6,Invoice,K,K949583,2021-10-15,8.7,5896.41,Processed
358,314,32,Invoice,O,O934754,2023-09-28,14.78,7855.99,Cancelled
359,374,11,Invoice,R,R911339,2023-11-21,10.9,8547.85,Pending
360,434,44,Receipt,T,T515030,2022-05-29,13.96,652.43,Pending
361,498,10,Receipt,R,R088514,2021-07-29,13.68,7042.54,Processed
362,216,42,Invoice,E,E239203,2021-04-10,0.87,8965.28,Cancelled
363,514,15,Invoice,Z,Z847688,2022-11-09,14.35,5684.77,Pending
364,261,36,Receipt,Q,Q452117,2022-04-23,6.88,4874.7,Cancelled
365,420,16,Invoice,K,K289941,2022-01-25,10.64,2402.06,Cancelled
366,392,18,Invoice,Y,Y517080,2020-03-26,12.04,5182.95,Pending
367,550,32,Invoice,J,J499469,2022-06-05,13.08,5516.89,Pending
