idarticulo,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado
91,20,5526893386618,Item,335.95,681,cover decision officer stuff whole its themselves share deep series,board.tiff,0
92,19,4546575490083,Green,472.14,413,day job military why us room tree about enter prove,expert.jpg,1
93,13,4517488389641,Thought,66.81,396,stage young seem drop forget create seat particularly management alone,money.jpeg,1
94,7,4577050234571,White,370.4,473,yes onto center best need inside back amount ability war,war.tiff,0
95,15,4552788524217,First,163.79,303,rate on person simple artist lay speak talk safe daughter,make.gif,1
96,14,5540831861784,Arrive,342.87,875,successful believe rich citizen born check movie between anyone maybe,statement.tiff,1
97,2,4542428418174,Meet,192.36,755,organization recognize good last expect bring fill yeah from large,think.png,1
98,4,4545113578528,Government,296.77,558,leg run school cell future more however training group best,discuss.tiff,1
99,9,4542435505003,Fish,167.25,719,thousand sometimes everyone their agent officer though red of rock,exactly.gif,0
100,19,4590537825192,Hotel,213.88,265,million by until might create position especially great paper conference,car.gif,1
101,3,5542619693969,Nothing,485.23,575,point method art no report this wife will simply feel,she.jpeg,0
102,4,5585811174737,Factor,285.37,5,and term allow rest power carry little wait step single,change.png,0
103,5,5565090068545,Power,144.68,606,service care little see pass beyond away trouble night yet,fly.bmp,0
104,7,5578358622274,Player,251.33,970,serious base military today probably see before short choice shake,discussion.bmp,1
105,20,4569097828028,Analysis,133.93,658,daughter guess boy candidate rule buy fill executive security modern,professor.jpeg,0
106,7,4570184007783,Character,127.81,585,central reflect nature role hospital while listen hope beautiful name,list.tiff,1
107,4,5587828348170,Religious,342.38,678,big usually chair account top him newspaper wall hotel keep,everything.png,0
108,14,5514075724679,Structure,175.16,397,top mrs sure as effect purpose sometimes spend president expert,citizen.gif,0
109,16,4553170512386,Moment,176.96,461,education fill movement size surface sister nation major fish yard,lot.jpg,0
110,19,5555099566357,Start,114.19,353,determine add music tv difference science possible stage own forward,TV.gif,1
111,20,5547323801815,Move,489.22,916,yourself business drug bar country from then player return shoulder,team.bmp,1
112,13,4506051842256,Could,483.75,25,left away sea to behavior there prepare population dinner bar,character.jpeg,0
113,10,4542411369711,Picture,50.14,416,often area blue your keep material wait can partner dog,experience.jpg,0
114,5,4539912040195,Cold,197.51,715,concern bring none now evidence father support audience kitchen boy,age.png,0
115,4,4505487060845,Report,489.48,460,culture too for quickly week far never better experience hour,interest.gif,0
116,3,5552417979691,Watch,172.99,607,prove economy past with interesting bar avoid gas scientist structure,feeling.png,1
117,11,5554651192201,Marriage,39.69,872,court heavy station heavy wonder everybody head lead science watch,course.gif,1
118,6,5508537982462,Thing,77.99,91,tell american compare court seven bad suggest hit however fall,person.bmp,1
119,3,4549291425421,Authority,243.75,303,seven woman little community between dog any response serve them,certain.tiff,1
120,21,5515660685610,Left,183.66,250,serve police enough air performance one mean true price bad,through.jpeg,1
121,17,5581946539342,Way,41.67,121,half summer them film represent dinner probably early while team,address.png,1
122,19,4504897227817,Doctor,121.02,652,all letter building rather peace message individual voice trip cell,industry.png,1
123,12,4539853413690,Fear,498.28,290,price number season pick per not surface situation fish alone,especially.jpg,0
124,10,4586408336294,Also,330.84,487,situation back management building forget any table establish important measure,white.jpg,0
125,7,5591692830181,City,462.46,607,series sound technology such company knowledge she those suggest letter,music.png,1
126,14,4568402257829,Interview,433.84,724,realize on who mother begin understand better dog always say,wear.tiff,1
127,20,4517429944472,Author,425.26,130,method but pick themselves indeed issue determine read degree speech,better.jpg,1
128,8,4504249413745,Time,66.87,787,else wrong produce dream eye notice attack capital meeting room,professional.jpg,1
129,5,4512985051657,Science,478.92,120,read measure lot whether your week leader crime public very,foot.jpg,0
130,15,5550414369279,Expert,115.02,182,important party population hope leave agreement success return edge turn,under.png,1
131,10,5543374463484,Similar,163.55,780,know mouth walk military either its cultural effect attention chair,peace.tiff,1
132,14,4586330128707,Determine,46.78,144,maintain trade open miss decade green scientist hold speak different,hope.jpg,1
133,11,5560034965898,Talk,417.93,484,across support once between stage sea next current building safe,task.bmp,1
134,6,4531494615884,Decade,245.36,799,size measure base suggest return painting fly kid parent girl,owner.tiff,1
135,10,4522543646782,Despite,271.49,720,common mission allow skin it history dinner past boy quality,practice.jpeg,0
136,3,5506507467209,Rock,413.6,321,whether few magazine recently factor or current body head office,time.jpg,1
137,7,4569268232579,Imagine,219.17,610,official message growth leave check tend heart west read set,eight.png,0
138,3,4520673412413,Item,332.01,985,series teach bank later test goal else property can film,recently.gif,1
139,12,5513999476817,Though,458.35,483,large worry even by child relationship real window develop chance,sense.png,0
140,9,5584544644364,Song,38.29,342,join federal play how watch because address everyone red picture,tell.gif,0
141,6,4500366130961,Young,471.77,676,lot audience list hospital soldier cut decision culture suggest happy,speak.jpg,1
142,7,4581688427465,Pull,360.69,490,drug consider rule protect lawyer relationship operation truth against none,former.jpeg,1
143,10,5543153211640,Step,98.84,248,move article town they morning maybe tend cause easy enough,rather.png,0
144,16,5553511953488,Heart,451.38,746,community collection stage spring dark suddenly unit song drop produce,Republican.jpg,1
145,16,5576809687537,Feeling,289.7,372,sort we catch ground behavior drug part almost space have,go.jpg,1
146,21,5506783485300,These,426.79,412,performance decide keep career discuss study hospital point lose stuff,car.jpeg,1
147,3,4572103455323,Century,347.89,22,poor quality including while minute could manage policy certain behavior,someone.tiff,0
148,3,5555323165011,Day,293.56,197,daughter check reason customer possible design high position new raise,training.tiff,1
149,17,4534860111249,Hit,343.77,589,tough class continue begin quality game special available campaign traditional,anyone.bmp,1
150,1,4595675393114,Situation,350.2,70,huge receive these still fall care record card stock respond,car.tiff,0
151,16,4588333777197,Impact,132.35,632,material will every minute reality nation break allow focus why,all.jpg,0
152,2,4593574950841,Southern,479.81,485,recognize pattern new rule whose make they field daughter manage,which.jpeg,0
153,15,5582241055094,Join,53.98,57,difficult summer response white base feel alone still future indeed,none.bmp,0
154,14,5574950939628,Thing,234.32,558,generation party because positive society treatment through subject catch ever,fact.png,0
155,5,4576409230950,Religious,338.35,364,head place condition media seat other remain imagine research democrat,attack.jpg,1
156,9,5532804454475,Sister,375.89,419,however upon perform must seem where kid this number performance,individual.jpg,1
157,8,4550847758023,Throughout,329.96,62,standard mission six action civil dream positive foot bit these,language.tiff,0
158,5,5563501721096,Policy,67.1,204,manage pretty along over physical simply good operation forget represent,very.jpg,0
159,21,4515705150289,Tend,254.87,730,box city anyone election him national this everything particularly program,his.gif,0
160,11,5511486166159,Play,155.38,985,though miss ok personal guess human environment else on piece,similar.png,0
161,12,4577104471686,Some,440.37,527,for federal represent little occur eye painting scene majority establish,coach.png,1
162,9,4561418886847,Nothing,97.72,755,catch tend window interest ball edge tell possible direction agreement,soon.tiff,1
163,10,5517544626139,Long,463.9,246,week color including person car community deep new himself page,teach.jpeg,0
164,11,4563852241527,Begin,247.39,230,tv when arm read sort represent determine could interesting above,visit.gif,1
165,8,4532744404784,Apply,454.14,231,position poor very you star during affect present table see,four.jpeg,1
166,7,5572697127865,Hand,108.18,797,fast mr plan tax standard point produce stock on home,stock.gif,0
167,7,5571432455621,Expect,84.47,558,church station himself mouth statement whom leg tv very game,in.gif,0
168,3,4519695288830,Leader,204.85,229,focus nothing onto nation possible send air friend mean behind,manager.jpeg,1
169,16,5558143851317,One,107.22,380,tree that treatment class interview pull record attention hundred read,hospital.gif,1
170,11,4532590246408,Let,360.3,592,could watch if finish participant tax central player hope mind,protect.jpg,0
171,17,5503179705943,Know,117.25,942,opportunity body avoid mind rule reach election nothing plan lawyer,traditional.png,1
172,13,5546053668545,Ago,478.41,21,hard family produce about often discussion agreement whole somebody want,always.jpg,0
173,20,4580383979897,Turn,4.03,430,head machine one sea more interesting guy ten table poor,girl.png,1
174,14,4539940719971,Speak,361.58,522,as skin office purpose order treatment those certainly without letter,bar.bmp,0
175,4,5501494668165,Her,315.05,142,difference dinner pass sense something their back stop spring develop,main.jpg,1
176,14,5550454606082,Mother,445.98,361,tonight relationship station individual offer there discussion market option stay,discover.tiff,0
177,9,5568676766460,Across,439.23,369,land peace red marriage military safe cut one air hope,finish.bmp,1
178,19,4569431274481,Size,271.03,384,life relationship two event him newspaper information radio several performance,foreign.jpg,1
179,7,5515344784219,Suffer,26.93,577,language government democrat individual game large wish floor case theory,central.bmp,0
180,13,5548127118871,Budget,88.33,505,can less foot and some must education away simply allow,after.png,1
181,20,5536591739647,True,34.33,6,stay situation eat decision a place friend happy year establish,sister.jpg,1
182,21,5502327038797,Tv,453.12,662,where morning high responsibility approach animal himself actually computer none,behavior.jpg,0
183,13,4553177118581,Remember,170.52,605,significant or discussion blue space trouble two whom deal range,early.png,0
184,15,5515744557192,Never,482.26,490,action job campaign part task price second interview republican avoid,stage.bmp,0
185,10,4587861803828,Owner,311.18,975,air chance i body material where arm do how realize,brother.bmp,1
186,12,4506515673990,Majority,50.17,191,middle nice say agent create raise news push like like,American.png,0
187,13,5585934736126,Learn,249.34,242,however maintain he him second cell tell common picture him,though.gif,1
188,6,5517235720566,Science,201.77,46,american play sell change town question product of age card,language.bmp,1
189,14,4503103773216,Election,240.78,898,drop experience magazine smile congress change participant nor speech bar,one.jpg,1
190,6,5559958251521,Strong,468.8,292,for as past factor future paper fill analysis product customer,lot.gif,1
191,2,4553888302897,Environment,129.7,469,tell imagine something economy budget audience coach value add both,probably.jpeg,1
192,8,4531787835029,Either,38.72,338,seem over night conference enough quickly range some in set,quite.tiff,0
193,13,4572276442045,Happen,448.19,567,respond candidate marriage decade quite tonight everything he industry south,mission.bmp,0
194,16,4518168177701,For,238.21,872,race life remain listen make number table student lose try,little.png,0
195,1,5508152866789,See,427.85,807,quite box husband however fear include according maintain both respond,stand.gif,0
196,17,4555967306987,Decade,401.86,683,matter thousand within laugh second forward staff amount lay and,design.tiff,1
197,12,5565388770655,Evening,472.06,114,century each should interest medical anything statement major among election,bank.jpg,0
198,10,4510310203320,Wife,126.44,563,various per former baby action rate former early both feeling,down.tiff,1
199,7,5531827390685,Degree,114.05,639,responsibility build mrs rather a ask although suffer speech assume,two.jpg,0
200,6,4577122727468,Firm,37.06,30,staff order offer these line improve letter hundred nor image,bad.bmp,1
201,3,4572570011404,Operation,489.63,843,it too hospital such see indicate rate say statement film,boy.bmp,0
202,22,5534368831952,Accept,232.53,957,rich draw necessary including still ever thing available animal behavior,thing.jpg,1
203,9,5541609645667,Manager,407.86,1,he peace woman ok apply full sort religious building action,hospital.gif,0
204,10,4520433978142,Pull,490.89,733,choice something account against expert edge they base finish way,interesting.gif,1
205,5,5505920218887,Foot,203.91,245,arrive conference accept edge enjoy same seat ability civil machine,difficult.gif,0
206,13,5541326743592,Red,193.94,816,agreement evening mission today skin even another local accept kitchen,its.png,0
207,2,5522476610705,Laugh,334.56,397,door admit exist fish food debate magazine action every language,skill.jpg,1
208,1,4530090782853,Possible,345.89,390,me film population alone matter window special expert character thing,without.jpeg,0
209,1,5559756914130,North,411.23,563,across lose sometimes involve value all else stand book campaign,individual.jpg,0
210,15,4588243054562,Lead,283.59,129,early year that each exist four general career door walk,sure.jpeg,0
211,9,4500829030326,Action,348.44,538,i crime home debate country benefit civil quality every add,for.jpg,1
212,4,5582873357184,Red,318.32,252,head challenge phone really avoid challenge college exactly artist nature,thing.tiff,0
213,14,4525764771127,Soldier,321.42,668,yard myself public building knowledge front believe history make eight,picture.gif,1
214,9,5579256988356,Forward,423.51,338,manage sister chair never decision nature fine property to training,subject.tiff,1
215,3,4516225507904,Offer,155.82,898,let shake per debate most arrive west authority professor arrive,buy.bmp,1
216,2,4577872790439,She,448.43,280,sure culture true year tonight newspaper task majority control available,buy.gif,1
217,19,4599730068207,Glass,467.43,554,movement reduce often couple serve whether act type so item,eight.gif,1
218,12,5549312655768,Surface,381.14,278,home week huge young throughout attention lawyer detail face line,song.bmp,1
219,12,5539410404634,Bed,270,424,middle relate about executive fish education local level company rest,best.gif,0
220,16,5558863826053,Ball,320,41,find court development natural their second allow western hard room,new.jpeg,0
221,18,4567309427656,Since,38.48,759,environmental central attorney compare maintain among store modern gas standard,term.tiff,1
222,7,4543435080637,Decision,488.39,385,necessary indeed sure concern experience reflect worry matter a question,her.gif,0
223,21,4555264519783,Law,43.04,823,attack his friend reflect sort wide activity democrat improve south,worry.gif,1
224,5,5573502671955,Somebody,289.76,800,in ready college build them could suggest official reason whether,hit.png,0
225,15,4581497073136,Any,93.23,603,mrs table gas mother practice democrat believe to yourself hit,charge.gif,0
226,2,4504547903092,Indicate,497.77,133,sometimes there among ask current per always message scientist treat,sound.gif,0
227,18,5551015398897,For,119.69,445,different grow second reduce nor almost time fish wish system,determine.bmp,0
228,12,4536575118476,Him,311.75,696,big interesting go father eat very billion stage investment gas,alone.bmp,1
229,7,5511239651062,Question,446.29,185,back hit old material difficult today guy notice end huge,medical.tiff,1
230,7,4573163426827,Check,219.37,120,relationship various yard quality left work able watch increase camera,his.png,0
231,2,5505815979749,Director,73.88,98,now fine bag white shoulder scene sense old develop while,really.jpeg,0
232,7,4505716236751,Church,308.92,1,light line phone pm particularly car sure perhaps throughout none,remember.tiff,0
233,12,4585542317909,Public,19.63,534,environmental question six beyond newspaper organization usually school argue store,college.gif,0
234,4,4514237037631,Staff,351.34,689,cut high itself individual toward senior check direction money whole,husband.tiff,1
235,13,5509061258955,Agree,22.59,299,world campaign worry reach outside production student why personal explain,education.gif,1
236,8,5595604058212,International,153.66,832,account course contain compare rate open force write hard campaign,property.bmp,0
237,19,5532528666215,Skill,115.23,275,pull but interesting reveal amount reality wait level get performance,it.jpeg,0
238,14,4585648523938,Law,470.33,109,they do class stop everything option box nothing she recognize,laugh.bmp,1
239,4,5538252964771,Nice,121.74,769,song let account such marriage mission stay ground offer stay,administration.png,1
240,2,5529291519510,Report,219.55,174,easy source different significant memory blue continue herself he go,avoid.tiff,0
241,13,4561129391555,Practice,205.27,781,painting her election serve need value rule at think maybe,word.gif,1
242,11,4589016561034,Make,460,111,scientist each work price happen avoid already long subject career,usually.bmp,1
243,2,5558475476615,Since,391.07,616,opportunity help data smile democrat order evidence even hit everything,laugh.jpeg,0
244,6,4525113910856,Full,282.41,892,son defense wrong even strategy at college town consider or,trouble.gif,0
245,12,5559504598759,Result,479.96,414,fish water reason later support worker decide today return brother,in.gif,1
246,1,5579186199020,Focus,431.52,348,soldier same however east detail significant choose what action model,because.bmp,1
247,21,5517053466011,Leave,337.74,838,head finish since cause peace business good bar put field,perform.bmp,0
248,16,5532596019944,Ability,263.78,957,democratic current detail firm business artist should student toward arrive,within.bmp,0
249,12,5596564178019,Rock,118.44,60,movie my long apply computer glass study huge exist senior,himself.tiff,0
250,13,4568071401141,Simple,42.28,177,area clearly major name account hot throughout measure if benefit,sort.bmp,1
251,11,4595905495144,Word,40.31,88,entire box relate cause west attorney imagine republican easy most,authority.jpg,0
252,15,4509788859122,Film,323.06,652,participant professional box worker there west speak building enjoy woman,last.tiff,0
253,20,4548270764803,Process,78.35,644,forget movement each they hit participant i newspaper computer relationship,letter.jpg,0
254,21,5507602603080,Generation,50.19,653,attack phone federal trial kid kind effect memory network now,purpose.jpg,0
255,20,4529828655835,Ahead,134.85,789,member whose team behind a exist mean might everybody town,course.bmp,0
256,18,5595608370877,Organization,50.03,17,physical street husband wonder book dog scientist policy student never,institution.tiff,0
257,14,5524372286619,Anything,248.37,276,trouble professor will establish analysis true government third population range,picture.gif,1
258,14,5525958051911,There,366.86,657,chance test financial everything knowledge standard trouble white purpose detail,different.tiff,1
259,21,5514445029533,Other,250.12,978,popular heart majority rest boy week than apply treatment nearly,catch.png,0
260,10,5581768407546,Store,63.68,643,religious east hospital manage family which radio hotel natural order,feel.png,1
261,16,4537761334571,Father,249.05,160,agency rule together want rise conference impact mrs direction pick,position.jpeg,1
262,4,4527946188204,Executive,310.82,829,detail go tough then section population half far process two,kind.jpeg,0
263,10,4575893426351,Those,76.54,415,south camera energy human nation front open follow suggest usually,girl.gif,1
264,18,4592235260510,Say,307.95,508,or push join performance significant push box middle education forget,since.jpeg,1
265,6,4542513496605,Budget,247.48,471,interest likely risk example democratic evening whose along expert develop,heavy.png,1
266,21,5524590248253,Career,225.15,857,door indeed letter shoulder player leave establish popular third paper,teach.gif,1
267,12,5545374676086,Lot,288.26,690,civil take not serve coach prevent yard discussion it tell,meeting.png,1
268,8,5552744822370,Body,408.43,981,far student moment represent hospital education capital buy fill fall,structure.gif,1
269,21,5546300220991,Human,426.36,862,no whole share situation pressure something oil type wrong represent,follow.jpeg,1
270,17,5555902456851,Sea,128.89,301,author civil media thus blood course whose sea employee physical,law.jpeg,0
271,13,4574500124796,Message,63.63,804,cup dog apply adult out anything range lot ago daughter,just.png,0
272,3,4553036293138,Trade,175.82,472,appear end speak population federal staff room serve former front,it.gif,1
273,3,4565683405468,Lawyer,406,478,approach mrs huge sure improve player determine receive on now,data.png,0
274,17,4598222596921,Information,296.2,210,class fine around music either lose blue property without exactly,artist.gif,0
275,9,4512927069115,Bank,239.29,960,family break month sea trip at or american charge line,hundred.bmp,0
276,10,4505435981369,Run,163.79,830,could life something player discover major concern development eat deep,step.gif,0
277,19,4517379439257,Imagine,9.26,584,air job upon upon environmental admit gun name fall family,tough.bmp,0
278,22,5586671045977,End,352.85,30,process guess always teacher age listen tend bar detail phone,affect.jpeg,0
279,5,5528856206261,Sort,155.87,788,his who appear job bar dinner rest hold local cut,capital.jpeg,0
280,3,4554519826034,Fund,322.74,650,want actually president hair successful side own interest race maintain,view.tiff,1
281,8,4573373913339,Office,158.13,883,near north tell employee economic example heart wear writer phone,for.gif,0
282,6,4599906939607,Take,223.66,345,activity everything ahead tough market example short exist network fight,trial.png,1
283,3,4593805773508,Race,112.23,608,recently process per one quality sister occur performance we interview,father.bmp,1
284,3,4580891130636,Human,96.51,194,join major friend eat writer kitchen beat successful yet skill,second.tiff,0
285,8,5585254679158,Front,137.15,614,board easy special woman cost person body full tough young,reality.bmp,1
286,21,5591877715593,Effort,391.88,287,four test adult light religious high other pay trade claim,high.tiff,0
287,6,5509491518797,Somebody,373.38,647,big draw half own race school some someone quality read,now.png,1
288,13,5580230069299,Everyone,66.7,375,i election concern amount friend ready animal task daughter tough,team.gif,0
289,7,5560376191559,Beat,260.06,605,several pick line friend indeed thought measure ever although concern,appear.jpg,0
290,11,5523600334009,Card,392.82,885,though population news stand from pretty quality statement worry once,good.bmp,1
291,20,5526893386618,Item,335.95,681,cover decision officer stuff whole its themselves share deep series,board.tiff,0
292,19,4546575490083,Green,472.14,413,day job military why us room tree about enter prove,expert.jpg,1
293,13,4517488389641,Thought,66.81,396,stage young seem drop forget create seat particularly management alone,money.jpeg,1
294,7,4577050234571,White,370.4,473,yes onto center best need inside back amount ability war,war.tiff,0
295,15,4552788524217,First,163.79,303,rate on person simple artist lay speak talk safe daughter,make.gif,1
296,14,5540831861784,Arrive,342.87,875,successful believe rich citizen born check movie between anyone maybe,statement.tiff,1
297,2,4542428418174,Meet,192.36,755,organization recognize good last expect bring fill yeah from large,think.png,1
298,4,4545113578528,Government,296.77,558,leg run school cell future more however training group best,discuss.tiff,1
299,9,4542435505003,Fish,167.25,719,thousand sometimes everyone their agent officer though red of rock,exactly.gif,0
300,19,4590537825192,Hotel,213.88,265,million by until might create position especially great paper conference,car.gif,1
301,3,5542619693969,Nothing,485.23,575,point method art no report this wife will simply feel,she.jpeg,0
302,4,5585811174737,Factor,285.37,5,and term allow rest power carry little wait step single,change.png,0
303,5,5565090068545,Power,144.68,606,service care little see pass beyond away trouble night yet,fly.bmp,0
304,7,5578358622274,Player,251.33,970,serious base military today probably see before short choice shake,discussion.bmp,1
